w	10.0.0.165	1.08968400955
w	10.0.0.165	2.68541097641
d	10.0.0.225	3.38607811928
dw	10.0.0.165	3.54131817818
w	10.0.0.165	3.89240598679
a	10.0.0.225	5.01401019096
aa	10.0.0.165	5.16654515266
w	10.0.0.225	6.30691719055
ww	10.0.0.165	6.42101812363
w	10.0.0.40	6.66589713097
w	10.0.0.165	7.34398198128
d	10.0.0.225	7.57021808624
dd	10.0.0.40	7.73564100266
w	10.0.0.165	8.24120998383
w	10.0.0.119	8.54971218109
w	10.0.0.40	8.83601617813
w	10.0.0.40	9.13106012344
ww	10.0.0.165	9.19010210037
w	10.0.0.165	9.54551815987
wa	10.0.0.40	9.67309308052
a	10.0.0.165	9.91474103928
a	10.0.0.40	11.3015210629
a	10.0.0.225	11.5876271725
a	10.0.0.165	11.8046081066
d	10.0.0.165	12.829583168
w	10.0.0.225	13.4355130196
d	10.0.0.165	13.9194951057
dd	10.0.0.40	13.9517979622
w	10.0.0.119	14.2632470131
d	10.0.0.165	14.3915700912
s	10.0.0.225	15.2217149734
sw	10.0.0.165	15.2681779861
wd	10.0.0.40	15.4526519775
dw	10.0.0.165	15.5643360615
d	10.0.0.40	15.9373211861
w	10.0.0.225	16.5124850273
w	10.0.0.40	16.9628441334
w	10.0.0.40	17.1995351315
ww	10.0.0.165	17.3159310818
ww	10.0.0.225	17.5108880997
a	10.0.0.40	17.6290149689
a	10.0.0.165	17.8204059601
w	10.0.0.225	17.88799119
s	10.0.0.165	19.3016610146
sa	10.0.0.40	19.3616671562
sas	10.0.0.225	19.4093129635
s	10.0.0.165	19.7194461823
s	10.0.0.165	20.0947091579
a	10.0.0.40	20.4386041164
s	10.0.0.165	20.9478731155
sa	10.0.0.119	20.9957151413
w	10.0.0.40	22.0333271027
w	10.0.0.40	22.3324751854
ww	10.0.0.119	22.3414390087
w	10.0.0.40	23.3316850662
w	10.0.0.40	24.6558110714
a	10.0.0.165	25.8710110188
w	10.0.0.40	26.2344920635
w	10.0.0.225	26.442209959
w	10.0.0.40	27.2778470516
wd	10.0.0.40	27.4306621552
d	10.0.0.165	27.8933310509
a	10.0.0.165	28.8801941872
w	10.0.0.40	29.1855399609
w	10.0.0.165	30.0164601803
d	10.0.0.40	30.2860841751
w	10.0.0.225	30.9367389679
wd	10.0.0.165	30.9610650539
w	10.0.0.225	31.2705090046
wd	10.0.0.40	31.2910161018
w	10.0.0.40	31.5665931702
ww	10.0.0.225	31.6376130581
w	10.0.0.40	31.9305520058
d	10.0.0.165	32.37175107
d	10.0.0.40	32.8635640144
w	10.0.0.40	34.5568261147
ww	10.0.0.225	34.7133381367
w	10.0.0.40	35.9749281406
w	10.0.0.119	36.2547111511
ww	10.0.0.165	36.3480141163
w	10.0.0.225	36.9420850277
ww	10.0.0.40	37.022808075
wa	10.0.0.165	37.1510930061
waa	10.0.0.40	37.1901800632
a	10.0.0.165	38.0232021809
a	10.0.0.40	38.2623829842
d	10.0.0.119	38.8374090195
a	10.0.0.40	39.0563549995
aw	10.0.0.165	39.2102379799
w	10.0.0.165	39.9728171825
w	10.0.0.40	40.5228099823
w	10.0.0.40	40.8311209679
d	10.0.0.40	41.829321146
d	10.0.0.165	42.1881301403
d	10.0.0.40	42.9922449589
w	10.0.0.225	43.5364730358
w	10.0.0.40	44.0130620003
a	10.0.0.40	44.2870910168
a	10.0.0.225	44.6647341251
aa	10.0.0.165	44.7899329662
a	10.0.0.40	45.3414549828
w	10.0.0.40	46.6534230709
sw	10.0.0.165	46.8556060791
sw	10.0.0.225	46.8558430672
d	10.0.0.40	47.3126480579
w	10.0.0.165	47.8479380608
w	10.0.0.165	48.2703630924
w	10.0.0.40	48.5034940243
w	10.0.0.40	49.5671000481
ws	10.0.0.225	49.6940610409
w	10.0.0.165	50.4711990356
d	10.0.0.40	51.3325350285
w	10.0.0.40	51.7081410885
d	10.0.0.165	51.9274880886
s	10.0.0.225	52.3347351551
w	10.0.0.165	52.8162059784
s	10.0.0.225	53.1123561859
sw	10.0.0.40	53.1352910995
w	10.0.0.40	53.4795069695
a	10.0.0.225	54.5992691517
w	10.0.0.165	55.0962581635
ww	10.0.0.40	55.1399371624
w	10.0.0.165	55.4127509594
w	10.0.0.165	55.7235291004
s	10.0.0.225	56.0955719948
d	10.0.0.40	56.366697073
dd	10.0.0.40	56.5041000843
s	10.0.0.119	56.9915611744
w	10.0.0.40	57.4807021618
ww	10.0.0.165	57.6212739944
s	10.0.0.225	58.1851730347
s	10.0.0.225	58.5187921524
a	10.0.0.165	58.8810219765
aa	10.0.0.40	59.0090060234
s	10.0.0.225	59.6120669842
a	10.0.0.119	59.9819111824
d	10.0.0.165	60.552489996
w	10.0.0.40	60.9605610371
d	10.0.0.40	61.2649900913
d	10.0.0.225	61.4951851368
w	10.0.0.119	61.7147490978
wd	10.0.0.225	61.8670830727
w	10.0.0.165	62.5568151474
w	10.0.0.165	62.9227900505
ww	10.0.0.40	62.9365091324
wws	10.0.0.225	63.0212111473
sa	10.0.0.40	63.1739680767
s	10.0.0.225	63.4726750851
a	10.0.0.40	64.4526760578
a	10.0.0.165	64.8165781498
s	10.0.0.165	65.2438361645
w	10.0.0.40	65.4901380539
w	10.0.0.40	65.7330369949
s	10.0.0.225	66.5839090347
w	10.0.0.40	66.8360869884
s	10.0.0.225	67.8603460789
sw	10.0.0.40	68.0076491833
wd	10.0.0.119	68.1654081345
w	10.0.0.40	68.547950983
d	10.0.0.225	69.1515619755
w	10.0.0.40	69.79906106
w	10.0.0.40	70.0189561844
a	10.0.0.40	70.9706141949
s	10.0.0.225	71.4684741497
a	10.0.0.119	72.0928981304
a	10.0.0.40	72.45631814
d	10.0.0.225	72.6576600075
dw	10.0.0.40	72.7597670555
dww	10.0.0.165	72.7982201576
w	10.0.0.40	73.736068964
wd	10.0.0.225	73.8013150692
dw	10.0.0.40	73.9639279842
d	10.0.0.225	75.0000991821
dw	10.0.0.40	75.0888450146
w	10.0.0.165	75.3237020969
a	10.0.0.40	76.3460550308
aa	10.0.0.165	76.3644030094
w	10.0.0.40	76.8745779991
d	10.0.0.225	77.189399004
w	10.0.0.40	77.8873651028
ww	10.0.0.40	78.0508999825
wa	10.0.0.165	78.1544561386
aw	10.0.0.40	78.2576301098
s	10.0.0.225	78.6415131092
a	10.0.0.165	79.1908090115
s	10.0.0.40	79.7649180889
s	10.0.0.225	80.0154430866
ss	10.0.0.40	80.0432040691
s	10.0.0.40	81.12698102
d	10.0.0.225	82.0219991207
da	10.0.0.40	82.133341074
a	10.0.0.40	83.1216330528
aa	10.0.0.165	83.1308240891
w	10.0.0.40	84.2040059566
w	10.0.0.40	85.2458810806
wd	10.0.0.225	85.3236150742
wda	10.0.0.40	85.4365901947
w	10.0.0.165	85.6939029694
w	10.0.0.165	86.0122830868
a	10.0.0.40	86.7758271694
a	10.0.0.165	87.2101671696
w	10.0.0.165	88.964053154
